Rio Grande do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Acegu&aacute;,4300034,aceguaense,MARCUS VIN&Iacute;CIUS GODOY DE AGUIAR,1551.339,4170,2.69,4251,98.8,0.687,-,63851994.01,62880088.59,91688.37,
&Aacute;gua Santa,4300059,&aacute;gua-santense,JULIANO FAVRETTO,291.526,3912,13.42,4003,99.18,0.750,27.03,50926977.45,44324927.58,107039.28,
Agudo,4300109,agudense,LUIS HENRIQUE KITTEL,534.624,16041,30.00,16341,100,0.694,5.46,131867321.18,115724193,48634.87,
Ajuricaba,4300208,ajuricabense,PAULO CLAUDIO DOLOVITSCH,322.674,6720,20.83,6843,100,0.753,20,60979476.21,56485970.78,57072.14,
Alecrim,4300307,alecrinense,NEUSA LEDUR KUHN,316.394,6123,19.35,6219,99.26,0.672,-,42521184.14,40237261.46,25105.18,
Alegrete,4300406,alegretense,JESSE TRINDADE DOS SANTOS,7800.552,72409,9.28,74285,99.6,0.740,6.63,405027646.94,403989343.08,42840.36,
Alegria,4300455,alegriense,FABIO LUCIANO SCHAKOFSKI,172.794,3651,21.13,3705,100,0.695,-,39347441.32,34090522.91,37277.28,
Almirante Tamandar&eacute; do Sul,4300471,tamandarense,DILSE JOSEFINA KLEIN BICIGO,265.042,1969,7.43,2007,98.86,0.740,-,35999932.54,31299236.76,113340.27,
Alpestre,4300505,alpestrense,RUDIMAR ARGENTON,325.979,7117,21.83,7235,100,0.671,-,87214531.43,89278250.16,42555.77,
Alto Alegre,4300554,alto-alegrense,SILMAR DEMAMAN,115.335,1800,15.61,1837,100,0.747,-,35568816.65,28699353.77,40245.45,
Alto Feliz,4300570,alto-felizense,ROBES SCHNEIDER,78.170,3072,39.30,3145,100,0.734,-,46707604.66,39353188.43,66136.53,
Alvorada,4300604,alvoradense,DOUGLAS MARTELLO DE SOUZA SILVEIRA,71.702,187315,2612.48,194062,96.69,0.699,10.79,778377063.31,683859529.48,22048.07,
Amaral Ferrador,4300638,amaralense,RONIVAN FONTOURA BRAGA,506.109,5310,10.49,5384,98.94,0.624,-,39737144.24,34753233.03,32778.62,
Ametista do Sul,4300646,ametistense,GILMAR DA SILVA,93.605,7650,81.64,7826,99.32,0.682,-,61183180.36,54343191.41,26598.47,
Andr&eacute; da Rocha,4300661,andr&eacute;-rochense,FELIPE EDUARDO SEMINOTI JACQUES,331.208,1135,3.43,1156,100,0.720,62.5,30913505.43,28023091.8,98690.21,
Anta Gorda,4300703,anta-gordense,FRANCISCO DAVID FRIGHETTO,242.100,5957,24.61,6080,100,0.740,-,57564732.42,52342558.45,55943.84,
Ant&ocirc;nio Prado,4300802,pradense,ROBERTO JOS&Eacute; DALLE MOLLE,347.541,13045,37.54,13332,99.12,0.758,26.49,106682044.51,89102382.13,71018.99,
Arambar&eacute;,4300851,arambarense,IAGO DOS SANTOS KIELERMANN,518.193,4112,7.94,4215,99.29,0.691,-,53133970.7,47656072.74,56804.85,
Araric&aacute;,4300877,arariquense,OSEAS GARCIA,35.195,8525,240.88,8831,99.32,0.679,28.3,66963182.87,70632604.9,37883.33,
Aratiba,4300901,aratibense,GELSON TARC&Iacute;SIO CARBONERA,342.279,6483,18.94,6618,96.96,0.772,-,116819026.21,96650306.57,182819.23,
Arroio do Meio,4301008,arroio-meense,SIDNEI ECKERT,157.088,21958,139.78,22523,99.34,0.769,13.65,193099219.3,181484862.18,88493.4,
