IBGE,IBGE6,CIDADE,ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,MACRORREGIAO,PARTIDO PREFEITOS,POSTOS,mae_s_instru,mae_inst_1_8_anos,mae_inst_8_11_anos,mae_inst_12m_anos,pop_urb(%)
4300034.0,430003.0,ACEGUÁ,2012,177.049180327869,42.6229508196721,113.114754098361,113.114754098361,106.55737704918,103.27868852459,101.639344262295,0.687,0.703,0.541,0.852,1551.339,91688.37,2.69,4170,Sul,,1,,,,,36.7
4300059.0,430005.0,ÁGUA SANTA,2012,125.0,30.5555555555556,75.0,66.6666666666667,75.0,66.6666666666667,75.0,0.75,0.84,0.59,0.85,291.526,107039.28,13.42,3912,Norte,,1,,,31,7,43.5
4300109.0,430010.0,AGUDO,2012,77.4193548387097,54.3010752688172,80.1075268817204,88.7096774193548,90.8602150537634,84.4086021505376,96.7741935483871,0.694,0.752,0.524,0.847,534.624,48634.87,30.00,16041,Centro-Oeste,,,,75,83,23,51.1
4300208.0,430020.0,AJURICABA,2012,90.0,21.25,95.0,95.0,88.75,90.0,90.0,0.753,0.763,0.658,0.85,322.674,57072.14,20.83,6720,Missioneira,,3,,,26,30,64.2
4300307.0,430030.0,ALECRIM,2012,112.727272727273,12.7272727272727,103.636363636364,109.090909090909,92.7272727272727,105.454545454545,89.0909090909091,0.672,0.683,0.522,0.852,316.394,25105.18,19.35,6123,Missioneira,,3,,14,48,5,41.2
4300406.0,430040.0,ALEGRETE,2012,103.642039542144,36.108220603538,74.5057232049948,85.5359001040583,86.264308012487,86.6805411030177,88.4495317377732,0.74,0.72,0.664,0.849,7800.552,42840.36,9.28,72409,Centro-Oeste,,7,,182,556,129,90.6
4300455.0,430045.0,ALEGRIA,2012,20.5882352941176,41.1764705882353,91.1764705882353,97.0588235294118,117.647058823529,111.764705882353,114.705882352941,0.695,0.717,0.572,0.818,172.794,37277.28,21.13,3651,Missioneira,,1,,,24,8,46.6
4300471.0,430047.0,ALMIRANTE TAMANDARÉ DO SUL,2012,90.0,30.0,70.0,40.0,55.0,55.0,65.0,0.74,0.732,0.669,0.828,265.042,113340.27,7.43,1969,Norte,,1,,,,,51.7
4300505.0,430050.0,ALPESTRE,2012,74.390243902439,31.7073170731707,76.8292682926829,73.1707317073171,81.7073170731707,76.8292682926829,78.0487804878049,0.671,0.7,0.543,0.795,325.979,42555.77,21.83,7117,Norte,,3,,26,35,9,36.2
4300554.0,430055.0,ALTO ALEGRE,2012,118.75,50.0,75.0,87.5,87.5,75.0,100.0,0.747,0.756,0.642,0.859,115.335,40245.45,15.61,1800,Norte,,1,,,11,,48.7
4300570.0,430057.0,ALTO FELIZ,2012,90.4761904761905,33.3333333333333,66.6666666666667,100.0,100.0,104.761904761905,104.761904761905,0.734,0.74,0.603,0.886,78.170,66136.53,39.30,3072,Serra,,1,,7,7,,36.1
4300604.0,430060.0,ALVORADA,2012,105.603586295229,29.6189561319244,65.930195325008,93.0835734870317,83.8616714697406,87.7681716298431,83.0611591418508,0.699,0.694,0.564,0.874,71.702,22048.07,2612.48,187315,Metropolitana,,27,9,1348,1828,208,100.0
4300638.0,430063.0,AMARAL FERRADOR,2012,79.7101449275362,8.69565217391304,84.0579710144928,79.7101449275362,78.2608695652174,65.2173913043478,78.2608695652174,0.624,0.664,0.457,0.802,506.109,32778.62,10.49,5310,Sul,,2,,30,17,,32.3
4300646.0,430064.0,AMETISTA DO SUL,2012,89.7435897435897,30.7692307692308,76.9230769230769,64.1025641025641,66.6666666666667,71.7948717948718,70.5128205128205,0.682,0.697,0.562,0.809,93.605,26598.47,81.64,7650,Norte,,3,,24,41,13,62.9
4300661.0,430066.0,ANDRÉ DA ROCHA,2012,80.0,0.0,113.333333333333,86.6666666666667,53.3333333333333,86.6666666666667,53.3333333333333,0.72,0.738,0.605,0.837,331.208,98690.21,3.43,1135,Norte,,1,,,,,50.3
4300703.0,430070.0,ANTA GORDA,2012,113.157894736842,44.7368421052632,121.052631578947,131.578947368421,131.578947368421,68.4210526315789,123.684210526316,0.74,0.742,0.63,0.868,242.100,55943.84,24.61,5957,Vales,,2,,8,29,,49.0
4300802.0,430080.0,ANTÔNIO PRADO,2012,99.21875,31.25,89.0625,87.5,93.75,84.375,92.96875,0.758,0.777,0.671,0.835,347.541,71018.99,37.54,13045,Serra,,3,,53,53,21,73.4
4300851.0,430085.0,ARAMBARÉ,2012,94.8717948717949,12.8205128205128,69.2307692307692,66.6666666666667,69.2307692307692,82.0512820512821,74.3589743589744,0.691,0.694,0.57,0.833,518.193,56804.85,7.94,4112,Metropolitana,,3,,15,20,,79.5
4300877.0,430087.0,ARARICÁ,2012,127.777777777778,36.1111111111111,86.1111111111111,94.4444444444444,84.7222222222222,116.666666666667,106.944444444444,0.679,0.696,0.547,0.824,35.195,37883.33,240.88,8525,Metropolitana,,2,,38,59,,80.4
4300901.0,430090.0,ARATIBA,2012,112.19512195122,65.8536585365854,131.707317073171,126.829268292683,124.390243902439,102.439024390244,146.341463414634,0.772,0.801,0.67,0.856,342.279,182819.23,18.94,6483,Norte,,2,,6,32,12,59.6
4301008.0,430100.0,ARROIO DO MEIO,2012,125.301204819277,57.2289156626506,112.048192771084,110.843373493976,116.867469879518,107.831325301205,115.060240963855,0.769,0.75,0.706,0.86,157.088,88493.4,139.78,21958,Vales,,4,,41,108,62,82.5
