ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,POSTOS,mae_escolaridade_ens_medio,pop_urb(%),MACRORREGIAO_INT,PARTIDO PREFEITOS_INT
2020.0,104.98348072307598,113.513513513514,106.52777786111112,110.480549199085,110.44448509237219,107.70655270655271,113.4063143817545,0.687,0.7,0.534,0.849,1496.019,88848.11,19.46,4704.0,98.0,34.0,35.4,6.0,11.0
2021.0,75.70932556349206,126.9759485926655,95.51910361977174,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.687,0.7,0.534,0.849,1496.019,88848.11,19.46,4704.0,98.0,34.0,35.4,6.0,11.0
2022.0,145.2422175777439,126.9759485926655,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.687,0.7,0.534,0.849,1496.019,88848.11,19.46,4704.0,98.0,34.0,35.4,6.0,11.0
2023.0,135.64380064380063,100.0,106.52777786111112,110.480549199085,98.8532110091743,107.70655270655271,100.0,0.687,0.7,0.534,0.849,1496.019,88848.11,19.46,4704.0,98.0,34.0,35.4,6.0,11.0
2024.0,104.98348072307598,100.0,106.52777786111112,99.00087270830306,110.44448509237219,107.70655270655271,100.0,0.687,0.7,0.534,0.849,1496.019,88848.11,19.46,4704.0,98.0,34.0,35.4,6.0,11.0
2020.0,275.0,113.513513513514,95.51910361977174,99.00087270830306,110.44448509237219,96.50389086358356,113.4063143817545,0.697,0.751,0.5225,0.849,405.034,45625.31,19.46,4704.0,98.0,34.0,50.3,5.0,5.0
2021.0,95.83333345833333,87.0967741935484,106.52777786111112,99.00087270830306,110.44448509237219,96.50389086358356,87.06016311118384,0.697,0.751,0.5225,0.849,405.034,45625.31,19.46,4704.0,98.0,34.0,50.3,5.0,5.0
2022.0,145.2422175777439,87.0967741935484,106.52777786111112,110.480549199085,110.44448509237219,107.70655270655271,100.0,0.697,0.751,0.5225,0.849,405.034,45625.31,19.46,4704.0,98.0,34.0,50.3,5.0,5.0
2023.0,125.0,113.513513513514,117.6653439153439,122.08333358333336,121.38558201058203,107.70655270655271,113.4063143817545,0.697,0.751,0.5225,0.849,405.034,45625.31,19.46,4704.0,98.0,34.0,50.3,5.0,5.0
2024.0,125.0,87.0967741935484,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.697,0.751,0.5225,0.849,405.034,45625.31,19.46,4704.0,98.0,34.0,50.3,5.0,5.0
2020.0,46.1215513794482,140.0,150.6881313131313,145.45454554545452,144.54365083531744,141.74107151190475,140.0,0.753,0.761,0.662,0.849,405.034,56792.915,19.46,4704.0,98.0,34.0,64.75,2.0,2.0
2021.0,75.70932556349206,74.6815286624204,117.6653439153439,122.08333358333336,121.38558201058203,118.518518518519,126.923076923077,0.753,0.761,0.662,0.849,405.034,56792.915,19.46,4704.0,98.0,34.0,64.75,2.0,2.0
2022.0,75.70932556349206,87.0967741935484,117.6653439153439,122.08333358333336,121.38558201058203,131.21597458391912,126.923076923077,0.753,0.761,0.662,0.849,405.034,56792.915,19.46,4704.0,98.0,34.0,64.75,2.0,2.0
2023.0,114.53373015873015,126.9759485926655,129.16666675,133.5763890138889,132.142857142857,131.21597458391912,140.0,0.753,0.761,0.662,0.849,405.034,56792.915,19.46,4704.0,98.0,34.0,64.75,2.0,2.0
2024.0,135.64380064380063,140.0,161.63690480357144,190.6240981240981,167.60912698412704,141.74107151190475,140.0,0.753,0.761,0.662,0.849,405.034,56792.915,19.46,4704.0,98.0,34.0,64.75,2.0,2.0
2020.0,46.1215513794482,87.0967741935484,62.5,87.1754878072813,76.1904761904762,85.2941176470588,87.06016311118384,0.667,0.682,0.5225,0.849,405.034,27276.97,19.46,4704.0,98.0,34.0,42.9,2.0,4.0
2021.0,104.98348072307598,113.513513513514,50.26348435761521,65.0,65.15151533333334,53.125,49.355158896825394,0.667,0.682,0.5225,0.849,405.034,27276.97,19.46,4704.0,98.0,34.0,42.9,2.0,4.0
2022.0,114.53373015873015,113.513513513514,239.27045177045153,231.96530325696995,236.66132486965785,253.846153846154,251.92307692307702,0.667,0.682,0.5225,0.849,405.034,27276.97,19.46,4704.0,98.0,34.0,42.9,2.0,4.0
2023.0,104.98348072307598,140.0,140.824915824916,110.480549199085,155.263157894737,141.74107151190475,140.0,0.667,0.682,0.5225,0.849,405.034,27276.97,19.46,4704.0,98.0,34.0,42.9,2.0,4.0
2024.0,95.83333345833333,113.513513513514,129.16666675,133.5763890138889,144.54365083531744,118.518518518519,113.4063143817545,0.667,0.682,0.5225,0.849,405.034,27276.97,19.46,4704.0,98.0,34.0,42.9,2.0,4.0
