ç
"Município","ibge","latitude","longitude","Especial Censo 2022/População/Situação do domicílio/Percentual de População Urbana 2022 (%)"
"Aceguá","4300034","-31,864015000000","-54,164732000000","36,7"
"Água Santa","4300059","-28,175055000000","-52,034633000000","43,5"
"Agudo","4300109","-29,645663000000","-53,258692000000","51,1"
"Ajuricaba","4300208","-28,237729000000","-53,772819000000","64,2"
"Alecrim","4300307","-27,661074000000","-54,767096000000","41,2"
"Alegrete","4300406","-29,782043000000","-55,795870000000","90,6"
"Alegria","4300455","-27,837300000000","-54,057366000000","46,6"
"Almirante Tamandaré do Sul","4300471","-28,113726000000","-52,913715000000","51,7"
"Alpestre","4300505","-27,248769000000","-53,037366000000","36,2"
"Alto Alegre","4300554","-28,774746000000","-52,990755000000","48,7"
"Alto Feliz","4300570","-29,390139000000","-51,315816000000","36,1"
"Alvorada","4300604","-29,997493000000","-51,077729000000","100,0"
"Amaral Ferrador","4300638","-30,875148000000","-52,251270000000","32,3"
"Ametista do Sul","4300646","-27,356425000000","-53,192177000000","62,9"
"André da Rocha","4300661","-28,631977000000","-51,573738000000","50,3"
"Anta Gorda","4300703","-28,970884000000","-52,015823000000","49,0"
"Antônio Prado","4300802","-28,855438000000","-51,283577000000","73,4"
"Arambaré","4300851","-30,909346000000","-51,501318000000","79,5"
"Araricá","4300877","-29,617244000000","-50,925677000000","80,4"
"Aratiba","4300901","-27,394444000000","-52,303832000000","59,6"
"Arroio do Meio","4301008","-29,398891000000","-51,947449000000","82,5"
"Arroio do Padre","4301073","-31,440644000000","-52,433302000000","26,6"
"Arroio do Sal","4301057","-29,592961000000","-49,932958000000","96,1"
"Arroio do Tigre","4301206","-29,335860000000","-53,086396000000","51,4"
"Arroio dos Ratos","4301107","-30,090013000000","-51,733807000000","91,6"
"Arroio Grande","4301305","-32,236344000000","-53,082248000000","88,0"
"Arvorezinha","4301404","-28,873049000000","-52,179512000000","66,8"
"Augusto Pestana","4301503","-28,513352000000","-53,989470000000","57,1"
"Áurea","4301552","-27,693787000000","-52,054176000000","52,1"
"Bagé","4301602","-31,330502000000","-54,107083000000","97,4"
"Balneário Pinhal","4301636","-30,239751000000","-50,236701000000","99,1"
"Barão","4301651","-29,380864000000","-51,497538000000","64,5"
"Barão de Cotegipe","4301701","-27,617093000000","-52,377750000000","73,7"
"Barão do Triunfo","4301750","-30,390484000000","-51,737669000000","14,1"
"Barra do Guarita","4301859","-27,188070000000","-53,714413000000","63,6"
"Barra do Quaraí","4301875","-30,211075000000","-57,557060000000","75,1"
"Barra do Ribeiro","4301909","-30,292675000000","-51,300874000000","76,7"
"Barra do Rio Azul","4301925","-27,408758000000","-52,414105000000","27,4"
"Barra Funda","4301958","-27,923826000000","-53,036297000000","72,1"
"Barracão","4301800","-27,680230000000","-51,460151000000","64,0"
"Barros Cassal","4302006","-29,087704000000","-52,587752000000","44,3"
"Benjamin Constant do Sul","4302055","-27,508584000000","-52,602225000000","22,6"
"Bento Gonçalves","4302105","-29,167402000000","-51,515560000000","95,1"
"Boa Vista das Missões","4302154","-27,666111000000","-53,312756000000","62,5"
"Boa Vista do Buricá","4302204","-27,671567000000","-54,109481000000","70,8"
"Boa Vista do Cadeado","4302220","-28,577434000000","-53,813735000000","28,4"
"Boa Vista do Incra","4302238","-28,818488000000","-53,388705000000","41,4"
"Boa Vista do Sul","4302253","-29,350119000000","-51,677272000000","16,7"
"Bom Jesus","4302303","-28,670578000000","-50,433349000000","78,9"
"Bom Princípio","4302352","-29,494485000000","-51,355519000000","83,8"
"Bom Progresso","4302378","-27,546774000000","-53,866791000000","59,8"
"Bom Retiro do Sul","4302402","-29,607423000000","-51,943847000000","80,4"
"Boqueirão do Leão","4302451","-29,305158000000","-52,428050000000","26,7"
"Bossoroca","4302501","-28,730724000000","-54,909811000000","58,3"
"Bozano","4302584","-28,366290000000","-53,772402000000","37,1"
"Braga","4302600","-27,619193000000","-53,744329000000","70,4"
"Brochier","4302659","-29,555528000000","-51,588916000000","49,7"
"Butiá","4302709","-30,116144000000","-51,961483000000","96,4"
"Caçapava do Sul","4302808","-30,514743000000","-53,487569000000","77,5"
"Cacequi","4302907","-29,880288000000","-54,827728000000","80,3"
"Cachoeira do Sul","4303004","-30,045820000000","-52,893413000000","86,4"
"Cachoeirinha","4303103","-29,950629000000","-51,093677000000","100,0"
"Cacique Doble","4303202","-27,768232000000","-51,664113000000","37,2"
"Caibaté","4303301","-28,291075000000","-54,637887000000","65,9"
"Caiçara","4303400","-27,280941000000","-53,431895000000","44,0"
"Camaquã","4303509","-30,850704000000","-51,814601000000","81,3"
"Camargo","4303558","-28,589238000000","-52,203799000000","61,7"
"Cambará do Sul","4303608","-29,048175000000","-50,143765000000","72,9"
"Campestre da Serra","4303673","-28,796512000000","-51,095664000000","41,9"
"Campina das Missões","4303707","-27,991690000000","-54,845329000000","45,1"
"Campinas do Sul","4303806","-27,711601000000","-52,633104000000","81,6"
"Campo Bom","4303905","-29,675685000000","-51,058870000000","96,2"
"Campo Novo","4304002","-27,674493000000","-53,802814000000","80,5"
"Campos Borges","4304101","-28,892132000000","-52,998915000000","61,2"
"Candelária","4304200","-29,671285000000","-52,789668000000","56,5"
"Cândido Godói","4304309","-27,951318000000","-54,752834000000","35,7"
"Candiota","4304358","-31,561010000000","-53,677805000000","77,9"
"Canela","4304408","-29,357972000000","-50,814867000000","96,9"
"Canguçu","4304507","-31,393860000000","-52,676286000000","41,9"
"Canoas","4304606","-29,918697000000","-51,181030000000","100,0"
"Canudos do Vale","4304614","-29,323525000000","-52,232383000000","26,2"
"Capão Bonito do Sul","4304622","-28,125975000000","-51,395158000000","23,7"
"Capão da Canoa","4304630","-29,761467000000","-50,020022000000","98,9"
"Capão do Cipó","4304655","-28,931628000000","-54,554699000000","31,4"
"Capão do Leão","4304663","-31,766839000000","-52,487008000000","94,1"
"Capela de Santana","4304689","-29,701945000000","-51,321769000000","69,7"
"Capitão","4304697","-29,269500000000","-51,985969000000","44,9"
"Capivari do Sul","4304671","-30,149660000000","-50,508808000000","87,3"
"Caraá","4304713","-29,778637000000","-50,435756000000","27,8"
"Carazinho","4304705","-28,286511000000","-52,791897000000","97,7"
"Carlos Barbosa","4304804","-29,298297000000","-51,503818000000","80,4"
"Carlos Gomes","4304853","-27,714892000000","-51,917576000000","31,6"
"Casca","4304903","-28,559874000000","-51,983233000000","68,9"
"Caseiros","4304952","-28,273565000000","-51,692683000000","52,8"
"Catuípe","4305009","-28,254234000000","-54,012387000000","70,5"
"Caxias do Sul","4305108","-29,166899000000","-51,178860000000","96,5"
"Centenário","4305116","-27,762847000000","-52,002054000000","43,7"
"Cerrito","4305124","-31,852639000000","-52,814802000000","62,0"
"Cerro Branco","4305132","-29,656287000000","-52,941978000000","31,1"
"Cerro Grande","4305157","-27,607980000000","-53,165913000000","48,7"
"Cerro Grande do Sul","4305173","-30,602029000000","-51,753103000000","30,6"
"Cerro Largo","4305207","-28,147841000000","-54,739997000000","81,8"
"Chapada","4305306","-28,058450000000","-53,067277000000","67,2"
"Charqueadas","4305355","-29,956800000000","-51,625006000000","97,2"
"Charrua","4305371","-27,952831000000","-52,029412000000","23,1"
"Chiapetta","4305405","-27,917365000000","-53,945750000000","72,3"
"Chuí","4305439","-33,687567000000","-53,462675000000","97,2"
"Chuvisca","4305447","-30,757427000000","-51,978542000000","7,3"
"Cidreira","4305454","-30,181170000000","-50,209092000000","97,9"
"Ciríaco","4305504","-28,344303000000","-51,883031000000","61,5"
"Colinas","4305587","-29,392537000000","-51,868576000000","45,1"
"Colorado","4305603","-28,522948000000","-52,993176000000","59,9"
"Condor","4305702","-28,205296000000","-53,488943000000","71,9"
"Constantina","4305801","-27,730411000000","-52,987739000000","77,7"
"Coqueiro Baixo","4305835","-29,179257000000","-52,094603000000","20,0"
"Coqueiros do Sul","4305850","-28,117428000000","-52,778801000000","43,9"
"Coronel Barros","4305871","-28,384541000000","-54,073662000000","55,8"
"Coronel Bicaco","4305900","-27,717873000000","-53,709128000000","73,5"
"Coronel Pilar","4305934","-29,272710000000","-51,684935000000","12,3"
"Cotiporã","4305959","-28,998576000000","-51,696434000000","54,9"
"Coxilha","4305975","-28,121342000000","-52,300278000000","66,4"
"Crissiumal","4306007","-27,498012000000","-54,100035000000","52,8"
"Cristal","4306056","-30,999345000000","-52,049410000000","69,8"
"Cristal do Sul","4306072","-27,453630000000","-53,249184000000","47,1"
"Cruz Alta","4306106","-28,642447000000","-53,605241000000","97,1"
"Cruzaltense","4306130","-27,664888000000","-52,648143000000","29,5"
"Cruzeiro do Sul","4306205","-29,508291000000","-51,991576000000","63,9"
"David Canabarro","4306304","-28,384612000000","-51,852249000000","55,9"
"Derrubadas","4306320","-27,265391000000","-53,865119000000","43,1"
"Dezesseis de Novembro","4306353","-28,226876000000","-55,048209000000","27,3"
"Dilermando de Aguiar","4306379","-29,701964000000","-54,213560000000","38,1"
"Dois Irmãos","4306403","-29,584159000000","-51,087619000000","98,6"
"Dois Irmãos das Missões","4306429","-27,657537000000","-53,530865000000","54,1"
"Dois Lajeados","4306452","-28,975205000000","-51,835103000000","53,5"
"Dom Feliciano","4306502","-30,708598000000","-52,103934000000","27,3"
"Dom Pedrito","4306601","-30,981267000000","-54,674130000000","91,0"
"Dom Pedro de Alcântara","4306551","-29,370187000000","-49,849550000000","42,7"
"Dona Francisca","4306700","-29,624852000000","-53,362333000000","66,5"
"Doutor Maurício Cardoso","4306734","-27,509213000000","-54,358268000000","59,7"
"Doutor Ricardo","4306759","-29,099031000000","-51,984904000000","52,4"
"Eldorado do Sul","4306767","-29,999293000000","-51,310419000000","93,9"
"Encantado","4306809","-29,239917000000","-51,873023000000","89,4"
"Encruzilhada do Sul","4306908","-30,543657000000","-52,522045000000","74,0"
"Engenho Velho","4306924","-27,708587000000","-52,911921000000","44,9"
